[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 50: Total Loss of tensor([[2.9012]], grad_fn=<SubBackward0>)
[2022-11-05 04:09:36.540894] Process 3. Episode 50, average_reward -0.100000
Episode 50: Total Loss of tensor([[-9.1894]], grad_fn=<SubBackward0>)
[2022-11-05 04:09:39.443415] Process 1. Episode 50, average_reward -0.080000
Episode 50: Total Loss of tensor([[-105.2982]], grad_fn=<SubBackward0>)
[2022-11-05 04:09:42.745306] Process 4. Episode 50, average_reward -0.100000
Episode 50: Total Loss of tensor([[14.1629]], grad_fn=<SubBackward0>)
[2022-11-05 04:09:45.338556] Process 2. Episode 50, average_reward -0.080000
Episode 50: Total Loss of tensor([[-2.0798]], grad_fn=<SubBackward0>)
[2022-11-05 04:09:48.715054] Process 5. Episode 50, average_reward -0.100000
Episode 50: Total Loss of tensor([[4.5581]], grad_fn=<SubBackward0>)
[2022-11-05 04:12:20.534861] Process 0. Episode 100, average_reward -0.090000
Episode 100: Total Loss of tensor([[3.5746]], grad_fn=<SubBackward0>)
[2022-11-05 04:12:42.343156] Process 3. Episode 100, average_reward -0.130000
Episode 100: Total Loss of tensor([[-12.9354]], grad_fn=<SubBackward0>)
[2022-11-05 04:12:47.132682] Process 4. Episode 100, average_reward -0.070000
Episode 100: Total Loss of tensor([[-4.1213]], grad_fn=<SubBackward0>)
[2022-11-05 04:12:48.598404] Process 1. Episode 100, average_reward -0.090000
Episode 100: Total Loss of tensor([[-2.2938]], grad_fn=<SubBackward0>)
[2022-11-05 04:12:52.002872] Process 2. Episode 100, average_reward -0.060000
Episode 100: Total Loss of tensor([[-69.9177]], grad_fn=<SubBackward0>)
[2022-11-05 04:12:56.389693] Process 5. Episode 100, average_reward -0.070000
Episode 100: Total Loss of tensor([[7.0446]], grad_fn=<SubBackward0>)
[2022-11-05 04:15:13.387732] Process 0. Episode 150, average_reward -0.086667
Episode 150: Total Loss of tensor([[-0.4890]], grad_fn=<SubBackward0>)
[2022-11-05 04:15:29.211291] Process 4. Episode 150, average_reward -0.053333
Episode 150: Total Loss of tensor([[3.8104]], grad_fn=<SubBackward0>)
[2022-11-05 04:15:35.024496] Process 2. Episode 150, average_reward -0.080000
Episode 150: Total Loss of tensor([[12.4041]], grad_fn=<SubBackward0>)
[2022-11-05 04:15:36.595798] Process 3. Episode 150, average_reward -0.120000
Episode 150: Total Loss of tensor([[17.1288]], grad_fn=<SubBackward0>)
[2022-11-05 04:15:42.548369] Process 1. Episode 150, average_reward -0.080000
Episode 150: Total Loss of tensor([[6.1284]], grad_fn=<SubBackward0>)
[2022-11-05 04:15:57.434305] Process 5. Episode 150, average_reward -0.080000
Episode 150: Total Loss of tensor([[12.8084]], grad_fn=<SubBackward0>)
[2022-11-05 04:18:14.807746] Process 4. Episode 200, average_reward -0.060000
Episode 200: Total Loss of tensor([[11.1416]], grad_fn=<SubBackward0>)
[2022-11-05 04:18:16.243097] Process 0. Episode 200, average_reward -0.090000
Episode 200: Total Loss of tensor([[1.5150]], grad_fn=<SubBackward0>)
[2022-11-05 04:18:21.185654] Process 2. Episode 200, average_reward -0.070000
Episode 200: Total Loss of tensor([[-120.3147]], grad_fn=<SubBackward0>)
[2022-11-05 04:18:24.872532] Process 3. Episode 200, average_reward -0.100000
Episode 200: Total Loss of tensor([[15.5872]], grad_fn=<SubBackward0>)
[2022-11-05 04:18:34.764254] Process 1. Episode 200, average_reward -0.080000
Episode 200: Total Loss of tensor([[-126.3297]], grad_fn=<SubBackward0>)
[2022-11-05 04:18:54.654096] Process 5. Episode 200, average_reward -0.075000
Episode 200: Total Loss of tensor([[-4.1469]], grad_fn=<SubBackward0>)
[2022-11-05 04:20:57.601294] Process 4. Episode 250, average_reward -0.068000
Episode 250: Total Loss of tensor([[5.6755]], grad_fn=<SubBackward0>)
[2022-11-05 04:21:01.710721] Process 2. Episode 250, average_reward -0.064000
